"SongPage","Title","Artist"
"song-display.html?song=Rehab_Amy_Winehouse.pdf&id=935","Rehab","Amy Winehouse"
"song-display.html?song=Gypsys_Tramps_and_Thieves_Cher.pdf&id=934","Gypsys Tramps and Thieves","Cher"
"song-display.html?song=Lemon_Tree_Peter_Paul_and_Mary.pdf&id=933","Lemon Tree","Peter Paul and Mary"
"song-display.html?song=Downhearted_Australian__Crawl.pdf&id=932","Downhearted","Australian Crawl"
"song-display.html?song=Circle_Sky_Monkees.pdf&id=931","Circle Sky","Monkees"
"song-display.html?song=Hound_Dog_Elvis_Presley.pdf&id=930","Hound Dog","Elvis Presley"
"song-display.html?song=Blue_Lucinda_Williams.pdf&id=929","Blue","Lucinda Williams"
"song-display.html?song=Listen_To_The_Band_Monkees.pdf&id=928","Listen To The Band","Monkees"
"song-display.html?song=Chasing_Cars_Snow_Patrol.pdf&id=927","Chasing Cars","Snow Patrol"
"song-display.html?song=Look_Out_Here_Comes_Tomorrow_Monkees.pdf&id=926","Look Out [Here Comes Tomorrow]","Monkees"
"song-display.html?song=Heart_Of_Stone_Rolling_Stones.pdf&id=925","Heart Of Stone","Rolling Stones"
"song-display.html?song=Build_Me_Up_Buttercup_Foundations.pdf&id=924","Build Me Up Buttercup","Foundations"
"song-display.html?song=Mary_Mary_Monkees.pdf&id=923","Mary Mary","Monkees"
"song-display.html?song=Sooner_Or_Later_Em_Jimmy_Cliff.pdf&id=922","Sooner Or Later","Jimmy Cliff"
"song-display.html?song=Could_You_Ever_Love_Me_Again.pdf&id=921","Could You Ever Love Me Again","Gary and Dave"
"song-display.html?song=Deadmans_Curve.pdf&id=920","Deadman's Curve","Jan and Dean"
"song-display.html?song=Children_of_the_Revolution.pdf&id=919","Children of the Revolution","T-Rex"
"song-display.html?song=ObLaDi__ObLaDa.pdf&id=918","ObLaDi ObLaDa","Beatles"
"song-display.html?song=Peppermint_Twist.pdf&id=917","Peppermint Twist","Joey Dee and the Starliters"
"song-display.html?song=Monster_Mash.pdf&id=916","Monster Mash","Bobby ""Boris"" Pickett and the Cryptkicker Five"
"song-display.html?song=YMCA.pdf&id=915","YMCA","Village People"
"song-display.html?song=Good_Luck_Charm.pdf&id=914","Good Luck Charm","Elvis Presley"
"song-display.html?song=Wonderful_World.pdf&id=913","Wonderful World","Sam Cooke"
"song-display.html?song=arkansas_grass_F.pdf&id=912","Arkansas Grass","Axiom"
"song-display.html?song=Arkansas_Grass.pdf&id=911","Arkansas Grass","Axiom"
"song-display.html?song=Crocodile_Rock_G.pdf&id=910","Crocodile Rock","Elton John"
"song-display.html?song=Little_Red_Riding_Hood_Em.pdf&id=909","Little Red Riding Hood","Sam the Sham and the Pharaohs"
"song-display.html?song=Runaround_Sue.pdf&id=908","Runaround Sue","Dion"
"song-display.html?song=Whispering_Grass.pdf&id=907","Whispering Grass","Don Estelle and Windsor Davies"
"song-display.html?song=I_Hear_You_Knocking.pdf&id=906","I Hear You Knocking","Dave Edmunds"
"song-display.html?song=Father_and_Son.pdf&id=904","Father and Son","Cat Stevens"
"song-display.html?song=The_Lazy_Song.pdf&id=903","The Lazy Song","Bruno Mars"
"song-display.html?song=Telstar.pdf&id=902","Telstar","Tornados"
"song-display.html?song=Balloon_Man.pdf&id=901","Balloon Man","Robyn Hitchcock and the Egyptians"
"song-display.html?song=Sunny_Afternoon_Dm.pdf&id=900","Sunny Afternoon","Kinks"
"song-display.html?song=Closer_To_Fine.pdf&id=899","Closer To Fine","Indigo Girls"
"song-display.html?song=Dont_Let_The_Stars_Get_In_Your_Eyes.pdf&id=898","Don't Let The Stars Get In Your Eyes","Slim Willets and the Brush Cutters"
"song-display.html?song=Under__The_Milky_Way_Tonight.pdf&id=897","Under The Milky Way Tonight","Church"
"song-display.html?song=The_One_I_Love.pdf&id=895","The One I Love","R.E.M."
"song-display.html?song=Dont_Pass_Me_By.pdf&id=894","Don't Pass Me By","Beatles"
"song-display.html?song=Still_Havent_Found.pdf&id=893","Still Haven't Found What I'm Looking For","U2"
"song-display.html?song=Tiny_Dancer.pdf&id=892","Tiny Dancer","Elton John"
"song-display.html?song=Rosetta.pdf&id=891","Rosetta","Fame and Price Together"
"song-display.html?song=Thats_Freedom.pdf&id=890","That's Freedom","John Farnham"
"song-display.html?song=When_Im_Cleaning_Windows_G.pdf&id=889","When I'm Cleaning Windows","George Formby"
"song-display.html?song=Rawhide.pdf&id=888","Rawhide","TV Theme"
"song-display.html?song=Dedicated_Follower_of_Fashion.pdf&id=887","Dedicated Follower of Fashion","Kinks"
"song-display.html?song=That_Thing_You_Do.pdf&id=886","That Thing You Do","The Wonders (Oneders)"
"song-display.html?song=Pineapple_Princess.pdf&id=885","Pineapple Princess","Annette Funicello"
"song-display.html?song=Creeque_Alley.pdf&id=884","Creeque Alley","Mamas and the Papas"
"song-display.html?song=I_Thank_You.pdf&id=883","I Thank You","Lionel Rose"
"song-display.html?song=Its_Because_I_Love_You.pdf&id=882","It's Because I Love You","Master's Apprentices"
"song-display.html?song=Complicated.pdf&id=881","Complicated","Avril Lavigne"
"song-display.html?song=In_The_Court_Of_The_Crimson_King.pdf&id=880","In the Court Of The Crimson King","King Crimson"
"song-display.html?song=Hey_Man.pdf&id=879","Hey Man [Now You're Really Living]","Eels"
"song-display.html?song=A_Dear_John_Letter.pdf&id=878","A Dear John Letter","Jean Shepard and Ferlin Husky"
"song-display.html?song=Top_Of_The_World.pdf&id=877","Top Of The World","Carpenters"
"song-display.html?song=You_Keep_Me_Hanging_On.pdf&id=876","You Keep Me Hanging On","Ken Boothe"
"song-display.html?song=Here_Comes_The_Sun.pdf&id=874","Here Comes The Sun","Beatles"
"song-display.html?song=You_Were_On_My_Mind.pdf&id=873","You Were On My Mind","We Five"
"song-display.html?song=Cinderella_Rockefella.pdf&id=872","Cinderella Rockefella","Esther and Abi Ofarim"
"song-display.html?song=Cradle_of_Love.pdf&id=871","Cradle Of Love","Kelly Willis"
"song-display.html?song=Mr_Pleasant.pdf&id=870","Mr Pleasant","Kinks"
"song-display.html?song=Baby_Its_You.pdf&id=869","Baby It's You","Beatles"
"song-display.html?song=Its_Only_Love.pdf&id=867","It's Only Love","Beatles"
"song-display.html?song=The_Star.pdf&id=866","The Star","Ross D Wylie"
"song-display.html?song=Tracy.pdf&id=865","Tracy","Cufflinks"
"song-display.html?song=Lady_Madonna.pdf&id=864","Lady Madonna","Beatles"
"song-display.html?song=How_Can_You_Mend_A_Broken_Heart.pdf&id=863","How Can You Mend A Broken Heart","Bee Gees"
"song-display.html?song=Running_Bear.pdf&id=862","Running Bear","Johnny Preston"
"song-display.html?song=For_My_Lady.pdf&id=861","For My Lady","Moody Blues"
"song-display.html?song=Pub_With_No_Beer.pdf&id=860","Pub With No Beer","Slim Dusty"
"song-display.html?song=Heroes_and_Villians.pdf&id=859","Heroes and Villians","Beach Boys"
"song-display.html?song=Algebra.pdf&id=858","Algebra","Nina Persson"
"song-display.html?song=My_Way.pdf&id=857","My Way","Frank Sinatra"
"song-display.html?song=Cabaret.pdf&id=856","Cabaret","Liza Minelli"
"song-display.html?song=Memory.pdf&id=855","Memory","Andrew Lloyd Webber"
"song-display.html?song=Anyone_Who_Had_A_Heart.pdf&id=854","Anyone Who Had A Heart","Dionne Warwick"
"song-display.html?song=Turn_The_Cards_Slowly.pdf&id=853","Turn The Cards Slowly","Patsy Cline"
"song-display.html?song=The_Look_of_Love.pdf&id=852","The Look Of Love","Dusty Springfield"
"song-display.html?song=Sweet_Sweet_Love.pdf&id=851","Sweet Sweet Love","Russell Morris"
"song-display.html?song=Fox_On_The_Run.pdf&id=850","Fox On The Run","Manfred Mann"
"song-display.html?song=One_Love.pdf&id=849","One Love","Bob Marley and the Wailers"
"song-display.html?song=FOR_what_its_worth.pdf&id=848","For What It's Worth","Buffalo Springfield"
"song-display.html?song=Wildwood_Flower.pdf&id=847","Wildwood Flower","Carter Family"
"song-display.html?song=The_Air_That_I_Breathe.pdf&id=846","The Air That I Breathe","Hollies"
"song-display.html?song=Hold_that_Critter_Down.pdf&id=845","Hold That Critter Down","Sons of the Pioneers"
"song-display.html?song=Ukulele_Song_C.pdf&id=844","Ukulele Song","Arthur Godfrey"
"song-display.html?song=Ukulele_Song.pdf&id=843","Ukulele Song","Arthur Godfrey"
"song-display.html?song=Arms_of_Mary.pdf&id=842","Arms Of Mary","Sutherland Brothers and Quiver"
"song-display.html?song=It_Never_Rains_In_Southern_California.pdf&id=841","It Never Rains In Southern California","Albert Hammond"
"song-display.html?song=Where_The_Boys_Are.pdf&id=840","Where The Boys Are","Connie Francis"
"song-display.html?song=Red_Sails_In_The_Sunset.pdf&id=839","Red Sails In The Sunset","Connie Francis"
"song-display.html?song=My_Girl.pdf&id=838","My Girl","Temptations"
"song-display.html?song=Wheeling_West_Virginia.pdf&id=837","Wheeling West Virginia","Neil Sedaka"
"song-display.html?song=Brandy.pdf&id=836","Brandy","Looking Glass"
"song-display.html?song=Cows_With_Guns.pdf&id=835","Cows With Guns","Dana Lyon"
"song-display.html?song=Add_Some_Music_To_Your_Day.pdf&id=834","Add Some Music To Your Day","Beach Boys"
"song-display.html?song=Rikki_Dont_Lose_That_Number.pdf&id=832","Rikki Don't Lose That Number","Steely Dan"
"song-display.html?song=Two_Of_Us.pdf&id=831","Two Of Us","Beatles"
"song-display.html?song=City_Of_New_Orleans.pdf&id=830","City Of New Orleans","Arlo Guthrie"
"song-display.html?song=Afternoon_Delight.pdf&id=829","Afternoon Delight","Starland Vocal Band"
"song-display.html?song=House_of_Fun.pdf&id=828","House Of Fun","Madness"
"song-display.html?song=Girl.pdf&id=827","Girl","Beatles"
"song-display.html?song=Lachlan_Tigers.pdf&id=826","Lachlan Tigers","Australian Trad."
"song-display.html?song=All_I_Have_To_Do_Is_Dream.pdf&id=825","All I Have To Do Is Dream","Everly Brothers"
"song-display.html?song=Ciao_Baby.pdf&id=823","Ciao Baby","Lynne Randell"
"song-display.html?song=Gingerman_C.pdf&id=822","Ginger Man","Brian Cadd"
"song-display.html?song=Wholl_Stop_The_Rain.pdf&id=821","Who'll Stop The Rain","Creedence Clearwater Revival"
"song-display.html?song=Have_You_Ever_Seen_The_Rain_G.pdf&id=820","Have You Ever Seen The Rain","Creedence Clearwater Revival"
"song-display.html?song=Bus_Stop_Gm.pdf&id=818","Bus Stop","Hollies"
"song-display.html?song=Bright_Eyes.pdf&id=817","Bright Eyes","Art Garfunkel"
"song-display.html?song=One_More_Cup_Of_Coffee.pdf&id=816","One More Cup Of Coffee","Bob Dylan"
"song-display.html?song=Michelle.pdf&id=815","Michelle","Beatles"
"song-display.html?song=Chains.pdf&id=814","Chains","Beatles"
"song-display.html?song=Harvest.pdf&id=813","Harvest","Neil Young"
"song-display.html?song=Let_The_Sunshine_In_Am.pdf&id=812","Let The Sunshine In","Hair"
"song-display.html?song=I_Got_Life.pdf&id=811","I Got Life","Hair"
"song-display.html?song=Please_Dont_Let_Me_Be_Misunderstood1.pdf&id=810","Please Don't Let Me Be Misunderstood","Nina Simone"
"song-display.html?song=I_Close_My_Eyes_And_Count_To_Ten.pdf&id=809","I Close My Eyes And Count To Ten","Dusty Springfield"
"song-display.html?song=Turn_Turn_Turn.pdf&id=808","Turn Turn Turn","Byrds"
"song-display.html?song=Chocolate_Jesus.pdf&id=807","Chocolate Jesus","Tom Waits"
"song-display.html?song=SUZANNE_C.pdf&id=806","Suzanne","Leonard Cohen"
"song-display.html?song=Down_in_the_Boondocks.pdf&id=805","Down In The Boondocks","Billy Joe Royal"
"song-display.html?song=Working_for_the_Man.pdf&id=804","Working For The Man","Roy Orbison"
"song-display.html?song=Love_Her_Madly.pdf&id=803","Love Her Madly","Doors"
"song-display.html?song=Christmas_In_Prison.pdf&id=802","Christmas In Prison","John Prine"
"song-display.html?song=Wayfaring_Stranger_Em.pdf&id=801","Wayfaring Stranger","Trad"
"song-display.html?song=Snoopys_Christmas.pdf&id=800","Snoopy's Christmas","Royal Guardsmen"
"song-display.html?song=Dead_Skunk_In_The_Middle_Of_The_Road.pdf&id=799","Dead Skunk In The Middle Of The Road","Loudon Wainwright III"
"song-display.html?song=If_I_Fell.pdf&id=797","If I Fell","Beatles"
"song-display.html?song=Listen_To_Me.pdf&id=796","Listen To Me","Hollies"
"song-display.html?song=Yes_I_Will.pdf&id=795","Yes I Will","Hollies"
"song-display.html?song=Snoopy_The_Red_Baron_F.pdf&id=794","Snoopy vs The Red Baron","Royal Guardsmen"
"song-display.html?song=All_I_Want_For_Christmas_Is_A_Beatle.pdf&id=793","All I Want For Christmas Is A Beatle","Dora Bryan"
"song-display.html?song=Lets_Spend_the_Night_Together.pdf&id=792","Let's Spend The Night Together","Rolling Stones"
"song-display.html?song=When_Im_Cleaning_Windows.pdf&id=791","When I'm Cleaning Windows","George Formby"
"song-display.html?song=Shapes_Of_Things.pdf&id=790","Shapes Of Things","Yardbirds"
"song-display.html?song=Devil_Gate_Drive.pdf&id=789","Devil Gate Drive","Suzi Quatro"
"song-display.html?song=Barbados.pdf&id=788","Barbados","Models"
"song-display.html?song=You_Belong_To_Me.pdf&id=787","You Belong To Me","Jo Stafford"
"song-display.html?song=I_Dont_Want_To_Talk_About_It.pdf&id=786","I Don't Want To Talk About It","Crazy Horse"
"song-display.html?song=Tales_of_Brave_Ulysses.pdf&id=785","Tales Of Brave Ulysses","Cream"
"song-display.html?song=Little_Tin_Soldier.pdf&id=784","Tin Soldier","Small Faces"
"song-display.html?song=Trains_and_Boats_and_Planes.pdf&id=782","Trains and Boats and Planes","Dionne Warwick"
"song-display.html?song=Mystery_Dance.pdf&id=781","Mystery Dance","Elvis Costello"
"song-display.html?song=Urban_Spaceman.pdf&id=780","Urban Spaceman","Bonzo Dog Doo Dah Band"
"song-display.html?song=Youre_The_One_That_I_Want.pdf&id=779","You're The One That I Want","Grease"
"song-display.html?song=Daisy_A_Day.pdf&id=778","Daisy A Day","Jud Strunk"
"song-display.html?song=One_Of_Us.pdf&id=777","One Of Us","Abba"
"song-display.html?song=Youve_Got_A_Friend.pdf&id=776","You've Got A Friend","Carol King"
"song-display.html?song=Killing_Me_Softly.pdf&id=775","Killing Me Softly","Roberta Flack"
"song-display.html?song=Girl_Dont_Tell_Me.pdf&id=774","Girl Don't Tell Me","Beach Boys"
"song-display.html?song=Always_The_Sun.pdf&id=773","Always The Sun","Stranglers"
"song-display.html?song=Henry_Lee.pdf&id=772","Henry Lee","Nick Cave and the Bad Seeds"
"song-display.html?song=Sea_Of_Love.pdf&id=771","Sea Of Love","Phil Phillips"
"song-display.html?song=Mele_Kalikimaka_G.pdf&id=770","Mele Kalikimaka","Bing Crosby and the Andrews Sisters Christmas"
"song-display.html?song=Im_a_Boy.pdf&id=769","I'm A Boy","Who"
"song-display.html?song=Wildfire.pdf&id=768","Wildfire","Michael Martin Murphey"
"song-display.html?song=Strange_Little_Girl.pdf&id=767","Strange Little Girl","Stranglers"
"song-display.html?song=Going_up_the_country.pdf&id=766","Going Up The Country","Canned Heat"
"song-display.html?song=Sixteen_Candles_G.pdf&id=765","Sixteen Candles","Crests"
"song-display.html?song=Im_Waiting_For_My_Man_F.pdf&id=764","I'm Waiting For My Man","Velvet Underground and Nico"
"song-display.html?song=Sixteen_Candles.pdf&id=763","Sixteen Candles","Crests"
"song-display.html?song=Im_Waiting_For_My_Man.pdf&id=762","I'm Waiting For My Man","Velvet Underground and Nico"
"song-display.html?song=Chimes_of_Freedom.pdf&id=761","Chimes Of Freedom","Byrds"
"song-display.html?song=Beautiful_People.pdf&id=760","Beautiful People","Bonzo Dog Doo Dah Band"
"song-display.html?song=Dont_Forget_Me.pdf&id=759","Don't Forget Me","Harry Nilsson"
"song-display.html?song=Gentle_on_my_Mind.pdf&id=758","Gentle On My Mind","John Hartford"
"song-display.html?song=Im_Looking_Through_You.pdf&id=757","I'm Looking Through You","Beatles"
"song-display.html?song=Scotch_and_Soda.pdf&id=756","Scotch and Soda","Kingston Trio"
"song-display.html?song=Long_Time_Gone.pdf&id=755","Long Time Gone","Darrell Scott"
"song-display.html?song=Young_Girl.pdf&id=754","Young Girl","Gary Puckett and the Union Gap"
"song-display.html?song=Yesterday.pdf&id=753","Yesterday","Beatles"
"song-display.html?song=Where_Have_All_The_Flowers_Gone.pdf&id=752","Where Have All The Flowers Gone","Pete Seeger"
"song-display.html?song=O_Come_Angel_Band_C.pdf&id=751","O Come Angel Band","Trad"
"song-display.html?song=Friday_On_My_Mind.pdf&id=750","Friday On My Mind","Easybeats"
"song-display.html?song=Here_There_and_Everywhere.pdf&id=749","Here There And Everywhere","Beatles"
"song-display.html?song=DOWN_AT_THE_TWIST_AND_SHOUT.pdf&id=748","Down At The Twist And Shout","Mary Chapin Carpenter"
"song-display.html?song=Stray_Cat_Strut_Am.pdf&id=747","Stray Cat Strut","Stray Cats"
"song-display.html?song=One.pdf&id=746","One","Harry Nilsson"
"song-display.html?song=YOUVE_GOT_TO_HIDE_YOUR_LOVE_AWAY_G.pdf&id=745","You've Got To Hide Your Love Away","Beatles"
"song-display.html?song=YOUVE_GOT_TO_HIDE_YOUR_LOVE_AWAY.pdf&id=744","You've Got To Hide Your Love Away","Beatles"
"song-display.html?song=Little_Sister.pdf&id=743","Little Sister","Elvis Presley"
"song-display.html?song=This_Guys_In_Love_With_You.pdf&id=742","This Guy's In Love With You","Burt Bacharach"
"song-display.html?song=Sunsets.pdf&id=741","Sunsets","Powderfinger"
"song-display.html?song=SUZANNE_D.pdf&id=740","Suzanne","Leonard Cohen"
"song-display.html?song=Hold_On_Im_Coming.pdf&id=739","Hold On I'm Coming","Sam and Dave"
"song-display.html?song=Four_Strong_Winds.pdf&id=738","Four Strong Winds","Neil Young"
"song-display.html?song=More_Than_This.pdf&id=737","More Than This","Roxy Music"
"song-display.html?song=Me_And_You_And_A_Dog_Named_Boo.pdf&id=736","Me And You And A Dog Named Boo","Lobo"
"song-display.html?song=Shes_Not_There.pdf&id=735","She's Not There","Zombies"
"song-display.html?song=Before_You_Accuse_Me.pdf&id=734","Before You Accuse Me","Bo Diddley"
"song-display.html?song=Hey_Mickey.pdf&id=733","Mickey","Toni Basil"
"song-display.html?song=Dreamer.pdf&id=732","Dreamer","Supertramp"
"song-display.html?song=Mother_And_Child_Reunion.pdf&id=731","Mother And Child Reunion","Paul Simon"
"song-display.html?song=I_O_I_O.pdf&id=730","I.O.I.O","Bee Gees"
"song-display.html?song=The_Losing_End.pdf&id=729","The Losing End (When You're On)","Neil Young"
"song-display.html?song=The_Boxer_C.pdf&id=728","The Boxer","Simon and Garfunkel"
"song-display.html?song=Road_Trippin.pdf&id=727","Road Trippin'","Red Hot Chili Peppers"
"song-display.html?song=Eye_In_The_Sky.pdf&id=726","Eye In The Sky","Alan Parsons Project"
"song-display.html?song=Country_Roads.pdf&id=725","Country Roads","John Denver"
"song-display.html?song=Silver_Threads_and_Golden_Needles_D.pdf&id=724","Silver Threads and Golden Needles","Springfields"
"song-display.html?song=IS_SHE_REALLY_GOING_OUT_WITH_HIM.pdf&id=723","Is She Really Going Out With Him","Joe Jackson"
"song-display.html?song=Youre_My_Best_Friend.pdf&id=722","You're My Best Friend","Queen"
"song-display.html?song=Smiley.pdf&id=721","Smiley","Ronnie Burns"
"song-display.html?song=Its_All_Over_Now_Baby_Blue.pdf&id=720","Its All Over Now Baby Blue","Bob Dylan"
"song-display.html?song=Son_Of_A_Son_Of_A_Sailor.pdf&id=719","Son Of A Son Of A Sailor","Jimmy Buffett"
"song-display.html?song=Auld_Triangle.pdf&id=718","The Auld Triangle","Dubliners"
"song-display.html?song=Gypsy_Queen_D.pdf&id=717","Gypsy Queen","Country Radio"
"song-display.html?song=Here_With_You.pdf&id=716","Here With You","Cecilio and Kapono"
"song-display.html?song=I_Just_Wasnt_Made_For_These_Times.pdf&id=715","I Just Wasn't Made For These Times","Beach Boys"
"song-display.html?song=26_Miles.pdf&id=713","26 Miles (Santa Catalina)","Four Preps"
"song-display.html?song=Needle_And_The_Damage_Done.pdf&id=712","Needle And The Damage Done","Neil Young"
"song-display.html?song=Needles_and_Pins.pdf&id=710","Needles and Pins","Searchers"
"song-display.html?song=California_Blue.pdf&id=707","California Blue","Roy Orbison"
"song-display.html?song=Wicked_Game.pdf&id=706","Wicked Game","Chris Isaak"
"song-display.html?song=She_Dont_Care_About_Time.pdf&id=705","She Don't Care About Time","Byrds"
"song-display.html?song=Living_Doll.pdf&id=704","Living Doll","Cliff Richard"
"song-display.html?song=Old_Man.pdf&id=702","Old Man","Neil Young"
"song-display.html?song=Crocodile_Rock.pdf&id=701","Crocodile Rock","Elton John"
"song-display.html?song=Letter_From_America.pdf&id=700","Letter From America","Proclaimers"
"song-display.html?song=IT_DIDNT_LOOK_GOOD.pdf&id=699","It Didn't Look Good","Don Morrison"
"song-display.html?song=WHAT_TO_DO.pdf&id=698","What To Do What To Do","Don Morrison"
"song-display.html?song=Whole_Wide_World.pdf&id=697","Whole Wide World","Wreckless Eric"
"song-display.html?song=Rocky_Road_to_Dublin.pdf&id=696","Rocky Road To Dublin","Dubliners"
"song-display.html?song=Tears_for_Two_G.pdf&id=695","Tears For Two","Dwight Yoakam"
"song-display.html?song=Mr_Rock_and_Roll_G.pdf&id=694","Mr Rock and Roll","Amy Macdonald"
"song-display.html?song=Blue_Skies.pdf&id=693","Blue Skies","Willie Nelson"
"song-display.html?song=When_Im_64.pdf&id=692","When I'm 64","Beatles"
"song-display.html?song=You_Shook_Me_All_Night_Long.pdf&id=691","You Shook Me All Night Long","AC/DC"
"song-display.html?song=I_Wont_Stand_In_Your_Way.pdf&id=690","I Won't Stand In Your Way","Stray Cats"
"song-display.html?song=Alone_Again_Or.pdf&id=689","Alone Again Or","Love"
"song-display.html?song=I_Can_See_Clearly_Now_G.pdf&id=688","I Can See Clearly Now","Johnny Nash"
"song-display.html?song=Ballad_of_John_and_Yoko.pdf&id=687","Ballad of John and Yoko","Beatles"
"song-display.html?song=WHEELs_on_fire.pdf&id=686","This Wheel's On Fire","Bob Dylan"
"song-display.html?song=PRAIRIE_LULLABY.pdf&id=685","Prairie Lullaby","Jimmie Rodgers"
"song-display.html?song=Mr_Bojangles_C.pdf&id=684","Mr Bojangles","Jerry Jeff Walker"
"song-display.html?song=Mr_Bojangles.pdf&id=683","Mr Bojangles","Jerry Jeff Walker"
"song-display.html?song=San_Francisco.pdf&id=681","San Francisco (Be Sure To Wear Flowers In Your Hair)","Scott McKenzie"
"song-display.html?song=Romeo_and_Juliet.pdf&id=679","Romeo and Juliet","Dire Straits"
"song-display.html?song=Out_of_Time.pdf&id=678","Out Of Time","Rolling Stones"
"song-display.html?song=Sail_On_Sailor_G.pdf&id=677","Sail On Sailor","Beach Boys"
"song-display.html?song=Take_On_Me.pdf&id=676","Take On Me","Anni B Sweet (Original - Aha)"
"song-display.html?song=Hold_me_Tight_F.pdf&id=675","Hold Me Tight","Johnny Nash"
"song-display.html?song=Aint_Got_Nobody_To_Grind_My_Coffee.pdf&id=674","Ain't Got Nobody To Grind My Coffee","Caroline Johnson"
"song-display.html?song=Iko_Iko.pdf&id=673","Iko Iko","Dixie Cups"
"song-display.html?song=Tonight_You_Belong_To_Me.pdf&id=671","Tonight You Belong To Me","Lyle Ritz"
"song-display.html?song=San_Franciscan_Nights_F.pdf&id=669","San Franciscan Nights","Animals"
"song-display.html?song=Peggy_Gordon.pdf&id=668","Peggy Gordon","Dubliners"
"song-display.html?song=To_Her_Door.pdf&id=666","To Her Door","Paul Kelly"
"song-display.html?song=Please_Dont_Let_Me_Be_Misunderstood.pdf&id=664","Please Don't Let Me Be Misunderstood","Animals"
"song-display.html?song=Yeh_Yeh.pdf&id=663","Yeh Yeh","Georgie Fame and the Blue Flames"
"song-display.html?song=Itsy_Bitsy_Teenie_Weenie_Yellow_Polka_Dot_Bikini.pdf&id=662","Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini","Brian Hyland"
"song-display.html?song=Stairway_to_Heaven.pdf&id=661","Stairway To Heaven","Led Zeppelin"
"song-display.html?song=Ooh_Wakka_Doo_Wakka_Day.pdf&id=660","Ooh Wakka Doo Wakka Day","Gilbert O'Sullivan"
"song-display.html?song=Well_Respected_Man_C.pdf&id=658","A Well Respected Man","Kinks"
"song-display.html?song=I_Got_You_Babe.pdf&id=657","I Got You Babe","Sonny and Cher"
"song-display.html?song=The_Adventures_of_Barry_McKenzie.pdf&id=655","The Adventures Of Barry McKenzie","Smacka Fitzgibbon"
"song-display.html?song=Cats_in_the_cradle.pdf&id=654","Cat's In The Cradle","Harry Chapin"
"song-display.html?song=Girls_Girls_Girls.pdf&id=653","Girls Girls Girls","Sailor"
"song-display.html?song=That_Summer_Feeling.pdf&id=652","That Summer Feeling","Jonathan Richman"
"song-display.html?song=Love_Is_In_The_Air.pdf&id=651","Love Is In The Air","John Paul Young"
"song-display.html?song=My_Sweet_Lord.pdf&id=650","My Sweet Lord","George Harrison"
"song-display.html?song=Waterloo_Sunset.pdf&id=649","Waterloo Sunset","Kinks"
"song-display.html?song=Long_May_You_Run.pdf&id=646","Long May You Run","Neil Young"
"song-display.html?song=Raindrops_Keep_Falling_On_My_Head.pdf&id=645","Raindrops Keep Falling On My Head","BJ Thomas"
"song-display.html?song=Rio.pdf&id=644","Rio","Mike Nesmith"
"song-display.html?song=For_The_Good_Times.pdf&id=643","For The Good Times","Kris Kristofferson"
"song-display.html?song=Fall_At_Your_Feet.pdf&id=642","Fall At Your Feet","Crowded House"
"song-display.html?song=Silver_Moon.pdf&id=641","Silver Moon","Mike Nesmith and the First National Band"
"song-display.html?song=Boots_Boy.pdf&id=640","Boots Boy","Langhorne Slim"
"song-display.html?song=Stuck_In_The_Middle_With_You.pdf&id=639","Stuck In The Middle With You","Stealer's Wheel"
"song-display.html?song=Cottonfields.pdf&id=638","Cottonfields","Beach Boys"
"song-display.html?song=Olivers_Army.pdf&id=637","Oliver's Army","Elvis Costello and the Attractions"
"song-display.html?song=Come_Monday.pdf&id=636","Come Monday","Jimmy Buffet"
"song-display.html?song=Changing_Partners.pdf&id=635","Changing Partners","Patti Page"
"song-display.html?song=Tennesee_Waltz.pdf&id=634","Tennessee Waltz","Patti Page"
"song-display.html?song=Reflections_Of_My_Life_F.pdf&id=633","Reflections Of My Life","Marmalade"
"song-display.html?song=To_Sir_With_Love.pdf&id=632","To Sir With Love","Lulu"
"song-display.html?song=Back_in_the_USSR.pdf&id=631","Back In The USSR","Beatles"
"song-display.html?song=Another_Saturday_Night.pdf&id=630","Another Saturday Night","Sam Cooke"
"song-display.html?song=Well_Hello.pdf&id=627","Well Hello","Yellowstone and Voice"
"song-display.html?song=Killing_the_Blues_A.pdf&id=626","Killing The Blues","Rowland Salley"
"song-display.html?song=Everything_I_Own.pdf&id=625","Everything I Own","Bread"
"song-display.html?song=Robin_in_the_Rain.pdf&id=624","Robin in the Rain","Raffi"
"song-display.html?song=Killing_the_Blues.pdf&id=623","Killing the Blues","Rowland Salley"
"song-display.html?song=Morning_Has_Broken.pdf&id=622","Morning Has Broken","Cat Stevens"
"song-display.html?song=My_Boy_Lollipop.pdf&id=621","My Boy Lollipop (AUAS Version)","Millie Small"
"song-display.html?song=The_Tide_Is_High_AUAS.pdf&id=620","The Tide Is High (AUAS Version)","John Holt and the Paragons"
"song-display.html?song=Monkey_Man_AUAS.pdf&id=619","Monkey Man (AUAS Version)","Toots and the Maytals"
"song-display.html?song=Monkey_Man.pdf&id=618","Monkey Man","Toots and the Maytals"
"song-display.html?song=39.pdf&id=617","39","Queen"
"song-display.html?song=I_Still_Call_Australia_Home.pdf&id=616","I Still Call Australia Home","Peter Allen"
"song-display.html?song=Very_Strange.pdf&id=614","Very Strange","Wayne Shirlock"
